,courseid,wateryear,calyear,monthtrimester,datecode,scmonth,scday,scdepth,scswe,myid,mycat1,mycat2,mycon1,mycon2
113,09n02.txt,1992,1992,1,29-Jan,1,29,609.6,162.56,113,09n02.txt,1,609.6,162.56
114,09n02.txt,1993,1993,1,28-Jan,1,28,762,215.9,114,09n02.txt,1,762,215.9
115,09n02.txt,1994,1994,1,31-Jan,1,31,304.8,45.72,115,09n02.txt,1,304.8,45.72
116,09n02.txt,1995,1995,1,30-Jan,1,30,863.6,238.76,116,09n02.txt,1,863.6,238.76
117,09n02.txt,1996,1996,1,31-Jan,1,31,279.4,60.96,117,09n02.txt,1,279.4,60.96
118,09n02.txt,1997,1997,1,29-Jan,1,29,660.4,180.34,118,09n02.txt,1,660.4,180.34
119,09n02.txt,1998,1998,1,29-Jan,1,29,609.6,147.32,119,09n02.txt,1,609.6,147.32
120,09n02.txt,1999,1999,1,27-Jan,1,27,304.8,83.82,120,09n02.txt,1,304.8,83.82
121,09n02.txt,2000,2000,1,2-Feb,2,2,381,81.28,121,09n02.txt,2,381,81.28
122,09n02.txt,2001,2001,1,1-Feb,2,1,660.4,119.38,122,09n02.txt,2,660.4,119.38
123,09n02.txt,2002,2002,1,1-Feb,2,1,355.6,83.82,123,09n02.txt,2,355.6,83.82
124,09n02.txt,2003,2003,1,29-Jan,1,29,254,76.2,124,09n02.txt,1,254,76.2
125,09n02.txt,2004,2004,1,27-Jan,1,27,457.2,101.6,125,09n02.txt,1,457.2,101.6
126,09n02.txt,2005,2005,1,26-Jan,1,26,304.8,124.46,126,09n02.txt,1,304.8,124.46
127,09n02.txt,2006,2006,1,31-Jan,1,31,203.2,30.48,127,09n02.txt,1,203.2,30.48
128,09n02.txt,2007,2007,1,30-Jan,1,30,330.2,81.28,128,09n02.txt,1,330.2,81.28
129,09n02.txt,2008,2008,1,3-Feb,2,3,685.8,137.16,129,09n02.txt,2,685.8,137.16
130,09n02.txt,2009,2009,1,29-Jan,1,29,508,170.18,130,09n02.txt,1,508,170.18
131,09n02.txt,2010,2010,1,31-Jan,1,31,1143,302.26,131,09n02.txt,1,1143,302.26
132,09n02.txt,2011,2011,1,29-Jan,1,29,406.4,139.7,132,09n02.txt,1,406.4,139.7
133,09n02.txt,2012,2012,1,26-Jan,1,26,279.4,55.88,133,09n02.txt,1,279.4,55.88
134,09n02.txt,1985,1985,2,13-Feb,2,13,914.4,251.46,134,09n02.txt,2,914.4,251.46
135,09n02.txt,1986,1986,2,13-Feb,2,13,508,167.64,135,09n02.txt,2,508,167.64
136,09n02.txt,1987,1987,2,11-Feb,2,11,304.8,83.82,136,09n02.txt,2,304.8,83.82
137,09n02.txt,1988,1988,2,10-Feb,2,10,939.8,261.62,137,09n02.txt,2,939.8,261.62
138,09n02.txt,1989,1989,2,15-Feb,2,15,762,208.28,138,09n02.txt,2,762,208.28
139,09n02.txt,1990,1990,2,E/ST ,2,15,NA,50.8,139,09n02.txt,2,NA,50.8
140,09n02.txt,1991,1991,2,14-Feb,2,14,685.8,193.04,140,09n02.txt,2,685.8,193.04
141,09n02.txt,1992,1992,2,11-Feb,2,11,685.8,152.4,141,09n02.txt,2,685.8,152.4
142,09n02.txt,1993,1993,2,10-Feb,2,10,889,231.14,142,09n02.txt,2,889,231.14
143,09n02.txt,1994,1994,2,14-Feb,2,14,508,119.38,143,09n02.txt,2,508,119.38
144,09n02.txt,1995,1995,2,13-Feb,2,13,660.4,213.36,144,09n02.txt,2,660.4,213.36
145,09n02.txt,1996,1996,2,14-Feb,2,14,228.6,106.68,145,09n02.txt,2,228.6,106.68
146,09n02.txt,1997,1997,2,12-Feb,2,12,609.6,185.42,146,09n02.txt,2,609.6,185.42
147,09n02.txt,1998,1998,2,13-Feb,2,13,838.2,203.2,147,09n02.txt,2,838.2,203.2
148,09n02.txt,1999,1999,2,11-Feb,2,11,330.2,83.82,148,09n02.txt,2,330.2,83.82
149,09n02.txt,2000,2000,2,14-Feb,2,14,228.6,78.74,149,09n02.txt,2,228.6,78.74
150,09n02.txt,2002,2002,2,14-Feb,2,14,304.8,81.28,150,09n02.txt,2,304.8,81.28
151,09n02.txt,2003,2003,2,12-Feb,2,12,203.2,68.58,151,09n02.txt,2,203.2,68.58
152,09n02.txt,2004,2004,2,10-Feb,2,10,635,144.78,152,09n02.txt,2,635,144.78
153,09n02.txt,2005,2005,2,14-Feb,2,14,558.8,187.96,153,09n02.txt,2,558.8,187.96
154,09n02.txt,2006,2006,2,14-Feb,2,14,152.4,30.48,154,09n02.txt,2,152.4,30.48
155,09n02.txt,2007,2007,2,13-Feb,2,13,406.4,93.98,155,09n02.txt,2,406.4,93.98
156,09n02.txt,2008,2008,2,13-Feb,2,13,711.2,149.86,156,09n02.txt,2,711.2,149.86
157,09n02.txt,2009,2009,2,12-Feb,2,12,914.4,223.52,157,09n02.txt,2,914.4,223.52
158,09n02.txt,2010,2010,2,10-Feb,2,10,1244.6,337.82,158,09n02.txt,2,1244.6,337.82
159,09n02.txt,2011,2011,2,11-Feb,2,11,533.4,134.62,159,09n02.txt,2,533.4,134.62
160,09n02.txt,2012,2012,2,10-Feb,2,10,330.2,78.74,160,09n02.txt,2,330.2,78.74
161,09n04.txt,1986,1986,1,30-Jan,1,30,482.6,152.4,161,09n04.txt,1,482.6,152.4
162,09n04.txt,1987,1987,1,28-Jan,1,28,457.2,119.38,162,09n04.txt,1,457.2,119.38
163,09n04.txt,1988,1988,1,28-Jan,1,28,889,261.62,163,09n04.txt,1,889,261.62
164,09n04.txt,1989,1989,1,31-Jan,1,31,660.4,200.66,164,09n04.txt,1,660.4,200.66
165,09n04.txt,1990,1990,1,31-Jan,1,31,203.2,35.56,165,09n04.txt,1,203.2,35.56
166,09n04.txt,1991,1991,1,31-Jan,1,31,838.2,256.54,166,09n04.txt,1,838.2,256.54
167,09n04.txt,1992,1992,1,29-Jan,1,29,711.2,198.12,167,09n04.txt,1,711.2,198.12
168,09n04.txt,1993,1993,1,28-Jan,1,28,1143,342.9,168,09n04.txt,1,1143,342.9
169,09n04.txt,1994,1994,1,31-Jan,1,31,508,101.6,169,09n04.txt,1,508,101.6
170,09n04.txt,1995,1995,1,30-Jan,1,30,1092.2,289.56,170,09n04.txt,1,1092.2,289.56
171,09n04.txt,1996,1996,1,31-Jan,1,31,431.8,83.82,171,09n04.txt,1,431.8,83.82
172,09n04.txt,1997,1997,1,29-Jan,1,29,990.6,269.24,172,09n04.txt,1,990.6,269.24
173,09n04.txt,1998,1998,1,29-Jan,1,29,711.2,198.12,173,09n04.txt,1,711.2,198.12
174,09n04.txt,1999,1999,1,27-Jan,1,27,457.2,114.3,174,09n04.txt,1,457.2,114.3
175,09n04.txt,2000,2000,1,31-Jan,1,31,609.6,134.62,175,09n04.txt,1,609.6,134.62
176,09n04.txt,2001,2001,1,1-Feb,2,1,787.4,160.02,176,09n04.txt,2,787.4,160.02
177,09n04.txt,2002,2002,1,1-Feb,2,1,431.8,114.3,177,09n04.txt,2,431.8,114.3
178,09n04.txt,2003,2003,1,29-Jan,1,29,406.4,132.08,178,09n04.txt,1,406.4,132.08
179,09n04.txt,2004,2004,1,27-Jan,1,27,660.4,154.94,179,09n04.txt,1,660.4,154.94
180,09n04.txt,2005,2005,1,26-Jan,1,26,508,162.56,180,09n04.txt,1,508,162.56
181,09n04.txt,2006,2006,1,1-Feb,2,1,203.2,40.64,181,09n04.txt,2,203.2,40.64
182,09n04.txt,2007,2007,1,30-Jan,1,30,457.2,109.22,182,09n04.txt,1,457.2,109.22
183,09n04.txt,2008,2008,1,3-Feb,2,3,889,228.6,183,09n04.txt,2,889,228.6
184,09n04.txt,2009,2009,1,29-Jan,1,29,711.2,238.76,184,09n04.txt,1,711.2,238.76
185,09n04.txt,2010,2010,1,31-Jan,1,31,1193.8,307.34,185,09n04.txt,1,1193.8,307.34
186,09n04.txt,2011,2011,1,29-Jan,1,29,558.8,185.42,186,09n04.txt,1,558.8,185.42
187,09n04.txt,2012,2012,1,26-Jan,1,26,457.2,101.6,187,09n04.txt,1,457.2,101.6
188,09n04.txt,1986,1986,2,13-Feb,2,13,762,251.46,188,09n04.txt,2,762,251.46
189,09n04.txt,1987,1987,2,11-Feb,2,11,406.4,114.3,189,09n04.txt,2,406.4,114.3
190,09n04.txt,1988,1988,2,10-Feb,2,10,1143,320.04,190,09n04.txt,2,1143,320.04
191,09n04.txt,1989,1989,2,15-Feb,2,15,838.2,243.84,191,09n04.txt,2,838.2,243.84
192,09n04.txt,1990,1990,2,E/ST ,2,15,NA,71.12,192,09n04.txt,2,NA,71.12
193,09n04.txt,1991,1991,2,14-Feb,2,14,762,241.3,193,09n04.txt,2,762,241.3
194,09n04.txt,1992,1992,2,11-Feb,2,11,889,215.9,194,09n04.txt,2,889,215.9
195,09n04.txt,1993,1993,2,10-Feb,2,10,1320.8,363.22,195,09n04.txt,2,1320.8,363.22
196,09n04.txt,1994,1994,2,14-Feb,2,14,736.6,177.8,196,09n04.txt,2,736.6,177.8
197,09n04.txt,1995,1995,2,13-Feb,2,13,863.6,266.7,197,09n04.txt,2,863.6,266.7
